214233080101018         0.500         0.500       42       42         20.99
214233040225014        10.980        10.980       24       24        BADREC
214234                 16.980        16.980       34       34        577.32
214234024195262         6.980         6.98A        2        2         13.96
214234080101018         0.500         0.465        6        6          2.79
214235424128932         3.850         3.850       28       28        107.80
214235010155150        12.990        12.990       35       35        454.65
214235                 14.980        14.980       20       20        299.60
214235090501541         5.990         4.390        3        3         13.17
214236210803760         6.990         6.990       20     NONE        139.80
214236010311800        54.990        54.990       21       45       1154.79
      030321663         1.690         1.596       12       12         19.15
214237070104377         9.990        10.014        8        8         80.11
214237010155150        12.990        13.990       24       24        311.76
214237060102106        32.980        32.980        1        1         32.98
214238090508191         4.990         4.942       60       60        296.53
21423800241754        21.980        21.980        5        5        109.90
2142380801ÂÄ0          5.990         5.990        2        2         11.98
014239040232194        89.980         1.500        3        3          4.50
214239340240664        39.980        38.980        1        1         38.98
